Student_ID,Attendance,Study_Hours,Assignment_Submission,Previous_Marks,Projects_Completed,Communication_Skills,Aptitude_Score,Internet_Access,Family_Support,Sleep_Hours,Outcome
1,88,2.1,Yes,40,4,8,59,Yes,Yes,8.2,Pass
2,78,4.6,Yes,89,4,6,97,Yes,Yes,7.6,Pass
3,64,5.9,Yes,82,1,6,88,Yes,Yes,8.0,Fail
4,92,7.0,Yes,38,0,7,100,Yes,Yes,6.0,Pass
5,57,3.3,No,64,3,4,98,Yes,Yes,7.3,Fail
6,70,2.5,Yes,45,1,6,81,Yes,Yes,5.8,Pass
7,88,6.0,Yes,64,0,10,74,Yes,Yes,6.6,Fail
8,68,6.7,No,65,5,6,89,Yes,Yes,6.4,Pass
9,72,3.4,No,58,2,9,57,Yes,Yes,4.9,Fail
10,60,1.7,No,89,4,5,56,Yes,Yes,5.9,Pass
11,60,7.6,Yes,43,5,10,63,Yes,Yes,8.8,Pass
12,73,3.8,Yes,89,0,10,42,Yes,Yes,5.2,Pass
13,85,4.6,Yes,37,5,9,71,Yes,Yes,4.7,Pass
14,89,6.9,Yes,85,2,9,74,Yes,Yes,6.1,Pass
15,73,5.7,No,65,0,8,77,Yes,No,8.0,Pass
16,52,6.1,Yes,74,5,4,52,No,Yes,6.9,Fail
17,71,2.5,No,71,4,5,95,No,Yes,7.4,Pass
18,51,4.8,No,70,4,7,100,Yes,No,4.9,Pass
19,73,5.9,No,58,1,10,86,Yes,No,7.1,Pass
20,93,2.6,Yes,65,5,7,64,Yes,No,5.6,Pass
21,79,2.2,Yes,40,3,6,48,Yes,No,8.2,Pass
22,87,7.9,Yes,36,5,6,43,Yes,Yes,7.1,Pass
23,51,4.6,No,54,0,7,53,Yes,Yes,5.0,Fail
24,70,2.8,Yes,62,0,6,76,Yes,Yes,4.3,Pass
25,82,8.0,Yes,45,5,4,73,Yes,Yes,4.2,Pass
26,61,7.8,Yes,38,2,9,50,Yes,Yes,5.9,Fail
27,71,4.9,Yes,49,4,6,80,Yes,Yes,5.3,Pass
28,93,7.2,No,40,0,8,95,Yes,Yes,7.2,Pass
29,74,2.3,No,88,4,6,42,Yes,Yes,6.5,Pass
30,98,3.0,Yes,83,0,5,98,Yes,Yes,5.3,Pass
31,76,5.9,No,64,1,4,67,No,Yes,4.7,Pass
32,91,6.9,Yes,90,3,5,68,Yes,No,4.6,Pass
33,77,7.0,Yes,72,0,5,48,Yes,Yes,8.3,Pass
34,65,3.8,Yes,85,4,8,42,Yes,No,5.2,Fail
35,64,7.2,Yes,91,1,4,64,Yes,Yes,7.3,Pass
36,96,7.0,Yes,36,0,4,73,No,No,8.1,Fail
37,100,7.5,Yes,49,2,4,51,Yes,Yes,7.1,Pass
38,93,6.5,Yes,45,3,4,81,Yes,Yes,8.3,Pass
39,52,5.7,Yes,42,0,4,48,Yes,Yes,6.0,Fail
40,86,5.1,Yes,60,1,8,54,No,Yes,8.8,Pass
41,100,3.6,Yes,85,2,6,79,No,Yes,4.7,Pass
42,56,7.6,Yes,79,5,5,64,Yes,Yes,4.5,Fail
43,70,7.8,Yes,78,1,4,44,Yes,Yes,7.3,Pass
44,58,3.0,Yes,39,1,10,50,Yes,Yes,8.7,Fail
45,88,3.1,Yes,40,2,6,98,Yes,Yes,8.0,Pass
46,67,4.4,No,60,1,6,73,Yes,No,4.4,Fail
47,53,4.1,Yes,88,2,5,63,Yes,Yes,5.4,Fail
48,74,8.0,Yes,38,0,8,99,Yes,Yes,8.7,Pass
49,63,2.2,Yes,53,2,7,54,Yes,Yes,5.3,Fail
50,99,1.1,Yes,54,2,7,77,Yes,Yes,7.9,Pass
51,58,4.5,Yes,67,3,6,47,Yes,Yes,8.1,Pass
52,75,2.3,Yes,54,2,9,98,No,No,6.5,Pass
53,51,3.6,Yes,83,2,9,44,Yes,No,5.9,Pass
54,69,6.2,Yes,46,5,5,87,Yes,Yes,6.3,Pass
55,77,6.0,No,81,0,7,65,Yes,Yes,5.1,Pass
